event,detId,x,y,z,width,isSeed,mip,modType
20,441231369,339,1,0,1,1,0,1
20,441207906,394,0,0,2,0,0,1
20,441207905,393,0,0,1,1,0,1
20,420013170,550,0,0,1,0,0,1
20,420013169,549,0,0,1,1,0,1
20,439621762,444,0,0,1,0,0,2
20,439621761,445,0,0,1,1,0,2
20,438835242,322,0,0,1,0,0,2
20,438835241,321,31,15,1,1,0,2
20,439885882,919,0,0,1,0,1,2
20,437786654,652,0,0,2,0,0,2
20,437786653,650,8,8,2,1,0,2
20,438836266,294,0,0,1,0,1,2
20,438836265,293,1,1,1,1,0,2
20,439885881,917,30,14,1,1,0,2
20,411628806,801,1,0,1,0,0,1
20,411628805,800,1,0,1,1,0,1
20,439885886,932,0,0,2,0,0,2
20,438574174,388,0,0,1,0,1,2
20,438574173,389,26,10,1,1,0,2
20,439885885,933,29,13,1,1,0,2
20,411358430,716,0,0,2,0,0,1
20,411358429,716,0,0,1,1,0,1
20,438837290,285,0,0,4,0,1,2
20,420017270,930,1,0,2,0,0,1
20,420017269,929,1,0,1,1,0,1
20,437526594,438,0,0,1,0,1,2
20,437526593,438,26,10,2,1,0,2
20,419746918,290,1,0,1,0,0,1
20,419746917,289,1,0,1,1,0,1
21,440152106,647,0,0,1,0,1,2
21,438057994,767,0,0,2,0,0,2
21,443352106,827,0,0,1,0,0,1
21,443352105,825,0,0,1,1,0,1
21,440152105,647,26,10,2,1,0,2
21,438057993,764,20,4,1,1,0,2
21,439100450,150,0,0,2,0,0,2
21,439100449,153,1,1,1,1,0,2
21,439113746,450,0,0,2,0,0,2
21,439113745,450,4,4,1,1,0,2
21,443310142,379,0,0,1,0,0,1
21,443310141,381,0,0,2,1,0,1
21,438048790,340,0,0,1,0,0,2
21,438048789,338,8,8,2,1,0,2
21,441204794,703,0,0,2,0,0,1
21,441204793,705,0,0,2,1,0,1
21,442289194,468,1,0,1,0,0,1
21,442289193,466,1,0,2,1,0,1
21,442256442,191,1,0,2,0,0,1
21,442256441,192,1,0,2,1,0,1
21,440171542,642,0,0,1,0,1,2
21,440171541,641,10,10,2,1,0,2
21,441230382,426,0,0,1,0,0,1
21,441230381,425,0,0,1,1,0,1
22,420750450,352,0,0,1,0,1,2
22,412361786,143,0,0,1,0,0,2
22,420750449,345,31,15,1,1,0,2
22,420750449,352,31,15,1,1,0,2
22,412361785,144,29,13,1,1,0,2
22,420746354,330,0,0,1,0,1,2
22,420746354,339,0,0,2,0,1,2
22,420746354,352,0,0,1,0,1,2
22,420746353,352,5,5,1,1,0,2
22,412357690,138,0,0,1,0,0,2
22,412357689,139,3,3,1,1,0,2
23,440147998,781,0,0,2,0,1,2
23,440147997,783,11,11,1,1,0,2
23,439110694,774,0,0,2,0,1,2
23,439110693,775,15,15,1,1,0,2
23,443299886,920,0,0,1,0,0,1
23,443299885,921,0,0,2,1,0,1
23,438046738,412,0,0,1,0,1,2
23,438046737,413,23,7,2,1,0,2
23,440166450,707,0,0,2,0,0,2
23,440166449,706,4,4,1,1,0,2
23,443341886,431,1,0,1,0,0,1
23,443341885,429,1,0,1,1,0,1
23,442281022,869,0,0,1,0,0,1
23,442281021,867,0,0,1,1,0,1
